"district_id","state_id","n_nonmuslim","n_muslim","employment_rate_nonmuslim","employment_rate_muslim","within_gap"
16,"(28) Andhra Pradesh 28",578,47,45.8477508650519,34.0425531914894,-11.8051976735625
16,"(29) Karnataka 29",592,53,50,33.9622641509434,-16.0377358490566
17,"(10) Bihar 10",147,131,31.2925170068027,26.7175572519084,-4.57495975489433
17,"(18) Assam 18",837,43,39.3070489844683,32.5581395348837,-6.74890944958462
17,"(19) West Bengal 19",619,200,31.0177705977383,28,-3.01777059773828
17,"(29) Karnataka 29",721,40,54.9237170596394,45,-9.92371705963939
18,"(06) Haryana 06",686,470,29.7376093294461,35.7446808510638,6.00707152161777
18,"(19) West Bengal 19",319,56,31.974921630094,32.1428571428571,0.167935512763101
18,"(21) Orissa 21",680,33,35.7352941176471,21.2121212121212,-14.5231729055258
18,"(27) Maharashtra 27",556,103,43.1654676258993,31.0679611650485,-12.0975064608507
18,"(29) Karnataka 29",799,161,51.188986232791,52.1739130434783,0.98492681068727
19,"(24) Gujarat 24",1112,57,48.8309352517986,33.3333333333333,-15.4976019184652
19,"(29) Karnataka 29",1385,166,57.2563176895307,40.3614457831325,-16.8948719063982
20,"(08) Rajasthan 08",889,81,45.8942632170979,49.3827160493827,3.48845283228485
20,"(09) Uttar Pradesh 09",94,105,27.6595744680851,42.8571428571429,15.1975683890577
20,"(28) Andhra Pradesh 28",473,141,53.276955602537,36.8794326241135,-16.3975229784235
20,"(29) Karnataka 29",1373,161,37.5091041514931,30.4347826086957,-7.07432154279743
21,"(08) Rajasthan 08",145,75,32.4137931034483,26.6666666666667,-5.7471264367816
21,"(18) Assam 18",152,29,30.9210526315789,17.2413793103448,-13.6796733212341
21,"(23) Madhya Pradesh 23",705,63,55.4609929078014,36.5079365079365,-18.9530563998649
21,"(27) Maharashtra 27",859,24,27.8230500582072,20.8333333333333,-6.98971672487388
21,"(28) Andhra Pradesh 28",363,77,41.3223140495868,33.7662337662338,-7.55608028335301
21,"(29) Karnataka 29",618,21,49.5145631067961,71.4285714285714,21.9140083217753
